val_BLEU_4,time,seed,best_model_from,test_BLEU_4,epoch,train_loss,val_BLEU_1,val_BLEU_2,val_BLEU_3,val_ROUGE_L,val_CIDEr,test_BLEU_1,test_BLEU_2,test_BLEU_3,test_ROUGE_L,test_CIDEr,val_METEOR,test_METEOR
0.1194965039838019,Sun Jan 14 13:06:36 2024,456789,val,,,,,,,,,,,,,,,
,Sun Jan 14 13:06:36 2024,456789,test,0.1194965039838019,,,,,,,,,,,,,,
0.08200442268169,Mon Jan 15 19:27:20 2024,456789,val,0.0376214116094142,3.0,1.5928611015428604,0.2327701219202685,0.1537235046091281,0.1088869640606651,0.2992093361642504,0.2329196612665698,0.142179730238502,0.0844376930020659,0.0540283202034004,0.2280066164753879,0.0503260331523232,,
0.08200442268169,Mon Jan 15 19:27:20 2024,456789,test,0.0376214116094142,3.0,1.5928611015428604,0.2327701219202685,0.1537235046091281,0.1088869640606651,0.2992093361642504,0.2329196612665698,0.142179730238502,0.0844376930020659,0.0540283202034004,0.2280066164753879,0.0503260331523232,,
0.1182586729342959,Fri Jan 19 04:51:29 2024,456789,val,0.0734590259903329,2.0,1.7071341637229074,0.3528934480910135,0.2350260533917186,0.1637448434160528,0.3045046624137061,0.1879404070366878,0.2592931632699007,0.162220088739939,0.106756077120079,0.2561378858516833,0.0702965078052877,,
0.1182586729342959,Fri Jan 19 04:51:29 2024,456789,test,0.0734590259903329,2.0,1.7071341637229074,0.3528934480910135,0.2350260533917186,0.1637448434160528,0.3045046624137061,0.1879404070366878,0.2592931632699007,0.162220088739939,0.106756077120079,0.2561378858516833,0.0702965078052877,,
0.0655112789505376,Sat Jan 20 12:12:32 2024,456789,val,0.0258373260616135,2.0,1.6805713596389058,0.1833360792634037,0.1201886820721055,0.0855963614949834,0.2914811156881063,0.2213386406196204,0.1018635620184934,0.0587793635933886,0.0369774637643513,0.2176527949268343,0.0425305583123968,0.1128567576718786,0.0809349424237846
0.0655112789505376,Sat Jan 20 12:12:32 2024,456789,test,0.0258373260616135,2.0,1.6805713596389058,0.1833360792634037,0.1201886820721055,0.0855963614949834,0.2914811156881063,0.2213386406196204,0.1018635620184934,0.0587793635933886,0.0369774637643513,0.2176527949268343,0.0425305583123968,0.1128567576718786,0.0809349424237846
0.1184984848370403,Sun Jan 28 09:40:35 2024,20582,val,0.0739098406649957,1.0,2.36782692820802,0.3537992694758295,0.2356447259551257,0.1641618184163532,0.3047741259293138,0.1879399298231562,0.2606329556510324,0.1631347111271346,0.1074173962496127,0.2564900359489077,0.0703131941905845,0.1364840735947189,0.1078980350180226
0.1184970306575859,Sun Jan 28 09:40:35 2024,20582,test,0.0739098406649957,2.0,1.689047322777412,0.3538004485450861,0.2356428318747885,0.1641599807285174,0.3047946431771484,0.1879305806740006,0.2606329556510324,0.1631347111271346,0.1074173962496127,0.2564900359489077,0.0703131941905845,0.1364891169626279,0.1078980350180226
0.1184984848370403,Sun Jan 28 10:14:14 2024,9001,val,0.0739098406649957,1.0,2.416376189303976,0.3537992694758295,0.2356447259551257,0.1641618184163532,0.3047741259293138,0.1879399298231562,0.2606329556510324,0.1631347111271346,0.1074173962496127,0.2564900359489077,0.0703131941905845,0.1364840735947189,0.1078980350180226
0.1184984848370403,Sun Jan 28 10:14:14 2024,9001,test,0.0739098406649957,1.0,2.416376189303976,0.3537992694758295,0.2356447259551257,0.1641618184163532,0.3047741259293138,0.1879399298231562,0.2606329556510324,0.1631347111271346,0.1074173962496127,0.2564900359489077,0.0703131941905845,0.1364840735947189,0.1078980350180226
0.1184984848370403,Sun Jan 28 10:15:23 2024,22594,val,0.0739098406649957,2.0,1.737473930611247,0.3537992694758295,0.2356447259551257,0.1641618184163532,0.3047741259293138,0.1879399298231562,0.2606329556510324,0.1631347111271346,0.1074173962496127,0.2564900359489077,0.0703131941905845,0.1364840735947189,0.1078980350180226
0.1184984848370403,Sun Jan 28 10:15:23 2024,22594,test,0.0739098406649957,2.0,1.737473930611247,0.3537992694758295,0.2356447259551257,0.1641618184163532,0.3047741259293138,0.1879399298231562,0.2606329556510324,0.1631347111271346,0.1074173962496127,0.2564900359489077,0.0703131941905845,0.1364840735947189,0.1078980350180226
0.1178570592540396,Sun Feb  4 15:36:09 2024,16150,val,0.07813423228532163,8.0,1.3956111965275204,0.35177586945203293,0.23274293514443362,0.16242841685592005,0.30793825852042295,0.19926863472576678,0.26678502190720454,0.16681802591249537,0.11124738590092852,0.2597158582320226,0.08121675418048074,0.13577225650766808,0.10831739229356527
0.1178570592540396,Sun Feb  4 15:36:09 2024,16150,test,0.07813423228532163,8.0,1.3956111965275204,0.35177586945203293,0.23274293514443362,0.16242841685592005,0.30793825852042295,0.19926863472576678,0.26678502190720454,0.16681802591249537,0.11124738590092852,0.2597158582320226,0.08121675418048074,0.13577225650766808,0.10831739229356527
